# Time-averaged data for fix out
# step gamma tau_virial_GPa tau_wall_GPa T_K (interval averages)
450 0.00046 0.0151367 -0.183251 222.14
900 0.00136 0.0975376 -0.283071 224.751
1350 0.00226 0.106605 -0.282819 224.936
1800 0.00316 0.18335 -0.511226 224.582
2250 0.00406 0.278218 -0.59176 224.488
2700 0.00496 0.289868 -0.6411 223.94
3150 0.00586 0.293171 -0.688679 225.816
3600 0.00676 0.346177 -0.900209 226.301
4050 0.00766 0.388785 -0.899832 226.005
4500 0.00856 0.458432 -1.02262 224.084
4950 0.00946 0.507572 -1.16102 223.533
5400 0.01036 0.52825 -1.14681 223.159
5850 0.01126 0.602146 -1.40004 222.695
6300 0.01216 0.639117 -1.53722 223.381
6750 0.01306 0.66616 -1.54566 224.056
7200 0.01396 0.725979 -1.67352 222.149
7650 0.01486 0.819767 -1.7989 222.998
8100 0.01576 0.868263 -1.87169 223.15
8550 0.01666 0.85271 -1.96034 222.602
9000 0.01756 0.958053 -2.09465 222.842
9450 0.01846 1.00064 -2.33822 224.338
9900 0.01936 1.00549 -2.21701 225.912
10350 0.02026 1.06155 -2.38881 224.444
10800 0.02116 1.14856 -2.47761 222.76
11250 0.02206 1.20427 -2.65465 223.081
