# Time-averaged data for fix out
# step gamma tau_virial_GPa tau_wall_GPa T_K (interval averages)
450 0.00046 0.0334564 -0.084994 233.312
900 0.00136 0.0940792 -0.247019 234.335
1350 0.00226 0.160654 -0.156097 235.073
1800 0.00316 0.224959 -0.3076 233.818
2250 0.00406 0.283865 -0.374689 234.305
2700 0.00496 0.354602 -0.325279 233.125
3150 0.00586 0.416519 -0.510842 231.987
3600 0.00676 0.481362 -0.615741 232.808
4050 0.00766 0.549521 -0.616109 233.638
4500 0.00856 0.619398 -0.634772 232.534
4950 0.00946 0.681159 -0.70305 233.397
5400 0.01036 0.745878 -0.747115 233.87
5850 0.01126 0.806239 -0.865408 232.868
6300 0.01216 0.877946 -0.893805 233.083
6750 0.01306 0.9378 -1.03387 233.733
7200 0.01396 1.00744 -0.992935 233.8
7650 0.01486 1.06864 -1.17846 233.671
8100 0.01576 1.13293 -1.1743 234.121
8550 0.01666 1.19941 -1.19702 234.148
9000 0.01756 1.26345 -1.26525 233.588
9450 0.01846 1.32489 -1.4093 234.51
9900 0.01936 1.3893 -1.42221 234.838
10350 0.02026 1.45794 -1.4911 234.324
10800 0.02116 1.52004 -1.50416 236.703
11250 0.02206 1.58861 -1.55796 235.406
11700 0.02296 1.64802 -1.70948 236.234
12150 0.02386 1.717 -1.68643 236.456
12600 0.02476 1.77693 -1.8109 234.38
13050 0.02566 1.83841 -1.88449 233.939
13500 0.02656 1.91175 -1.91257 234.476
13950 0.02746 1.97191 -1.95086 233.902
14400 0.02836 2.03394 -2.05859 234.755
14850 0.02926 2.10249 -2.0145 233.228
15300 0.03016 2.16438 -2.24009 232.372
15750 0.03106 2.22946 -2.17158 233.41
16200 0.03196 2.29394 -2.35982 233.072
16650 0.03286 2.35606 -2.37763 233.144
17100 0.03376 2.41744 -2.42795 234.064
17550 0.03466 2.48114 -2.48342 234.488
18000 0.03556 2.55146 -2.38987 234.293
18450 0.03646 2.60424 -2.67866 233.618
18900 0.03736 2.67061 -2.60236 232.513
19350 0.03826 2.73593 -2.72026 233.635
19800 0.03916 2.79976 -2.76965 234.97
20250 0.04006 2.86521 -2.77503 235.447
20700 0.04096 2.92187 -2.89638 235.343
21150 0.04186 2.9837 -2.95344 234.339
21600 0.04276 3.04831 -2.96859 234.811
22050 0.04366 3.11777 -3.08942 234.679
22500 0.04456 3.17742 -3.12771 235.225
22950 0.04546 3.23116 -3.2192 235.518
23400 0.04636 3.29554 -3.28197 235.329
23850 0.04726 3.36787 -3.31897 236.084
24300 0.04816 3.43181 -3.30725 234.457
24750 0.04906 3.49498 -3.48139 234.315
25200 0.04996 3.55388 -3.46358 234.49
25650 0.05086 3.61348 -3.54342 233.965
26100 0.05176 3.66873 -3.72827 233.974
26550 0.05266 3.7399 -3.50224 234.739
27000 0.05356 3.79358 -3.82814 234.859
27450 0.05446 3.86093 -3.71566 235.489
27900 0.05536 3.9179 -3.81869 235.292
28350 0.05626 3.98341 -3.93563 234.573
28800 0.05716 4.03918 -3.97793 236.327
29250 0.05806 4.10293 -3.98486 234.805
29700 0.05896 4.17269 -4.01412 233.898
30150 0.05986 4.23076 -4.12054 234.286
30600 0.06076 4.28555 -4.20869 234.873
31050 0.06166 4.3485 -4.27345 234.847
31500 0.06256 4.4162 -4.28089 234.603
31950 0.06346 4.46884 -4.3308 234.089
32400 0.06436 4.52889 -4.42544 233.9
32850 0.06526 4.59246 -4.52962 232.666
33300 0.06616 4.64926 -4.5238 233.865
33750 0.06706 4.7132 -4.5678 233.494
34200 0.06796 4.76836 -4.61713 233.978
34650 0.06886 4.82435 -4.76665 235.885
35100 0.06976 4.88387 -4.80998 234.419
35550 0.07066 4.9504 -4.7281 234.661
36000 0.07156 5.00561 -4.91285 234.412
36450 0.07246 5.06094 -4.95249 234.629
36900 0.07336 5.11742 -5.02988 235.48
37350 0.07426 5.18141 -5.05664 234.932
37800 0.07516 5.24554 -5.06193 233.113
38250 0.07606 5.29707 -5.18258 234.223
38700 0.07696 5.3534 -5.28475 234.49
39150 0.07786 5.41711 -5.27671 234.86
39600 0.07876 5.479 -5.2885 234.163
40050 0.07966 5.53805 -5.38603 233.529
40500 0.08056 5.59084 -5.43258 234.814
40950 0.08146 5.64701 -5.41731 235.873
41400 0.08236 5.69745 -5.59292 234.89
41850 0.08326 5.76349 -5.5901 233.434
42300 0.08416 5.8107 -5.74341 234.861
42750 0.08506 5.87005 -5.70998 235.139
43200 0.08596 5.92116 -5.77439 234.341
43650 0.08686 5.9829 -5.91057 234.956
44100 0.08776 6.03814 -5.84417 236.448
44550 0.08866 6.08829 -6.02476 235.611
45000 0.08956 6.15257 -5.99096 235.077
45450 0.09046 6.20969 -6.05391 234.941
45900 0.09136 6.25608 -6.22786 236.287
46350 0.09226 6.31228 -6.0271 235.691
46800 0.09316 6.37024 -6.25731 235.41
47250 0.09406 6.42971 -6.33231 234.438
47700 0.09496 6.48557 -6.30835 233.251
48150 0.09586 6.53673 -6.36601 234.65
48600 0.09676 6.59905 -6.31347 234.659
49050 0.09766 6.64454 -6.4967 234.512
49500 0.09856 6.69443 -6.53838 234.056
49950 0.09946 6.74925 -6.57317 235.275
50400 0.10036 6.80243 -6.64288 234.356
50850 0.10126 6.85402 -6.67244 234.7
51300 0.10216 6.90473 -6.73983 234.108
51750 0.10306 6.95789 -6.80391 233.653
52200 0.10396 7.00579 -6.73421 234.73
52650 0.10486 7.05574 -6.92727 235.351
53100 0.10576 7.11291 -6.88269 236.342
53550 0.10666 7.1599 -6.97662 235.427
54000 0.10756 7.21673 -7.05945 235.067
54450 0.10846 7.26784 -7.00151 234.99
54900 0.10936 7.31081 -7.14244 235.188
55350 0.11026 7.36966 -7.1826 234.746
55800 0.11116 7.42385 -7.19512 235.201
56250 0.11206 7.46531 -7.20667 235.313
56700 0.11296 7.51295 -7.32882 234.659
57150 0.11386 7.55787 -7.30473 234.449
57600 0.11476 7.60918 -7.46953 234.771
58050 0.11566 7.67002 -7.33811 233.676
58500 0.11656 7.70666 -7.64029 234.134
58950 0.11746 7.75664 -7.50908 234.862
59400 0.11836 7.80356 -7.56431 234.241
59850 0.11926 7.85026 -7.52628 235.133
60300 0.12016 7.89623 -7.73564 234.508
60750 0.12106 7.9468 -7.70832 232.727
61200 0.12196 7.98879 -7.65123 234.721
61650 0.12286 8.02688 -7.85107 235.743
62100 0.12376 8.07542 -7.82049 235.277
62550 0.12466 8.12411 -7.82481 234.572
63000 0.12556 8.16522 -8.03098 234.874
63450 0.12646 8.21477 -7.98798 234.758
63900 0.12736 8.25974 -7.91621 234.503
64350 0.12826 8.28557 -8.12782 235.38
64800 0.12916 8.34152 -8.09666 234.082
65250 0.13006 8.38119 -8.16504 234.34
65700 0.13096 8.42942 -8.24491 233.49
66150 0.13186 8.47357 -8.24781 234.291
66600 0.13276 8.51266 -8.21364 235.006
67050 0.13366 8.55308 -8.32322 233.456
67500 0.13456 8.59479 -8.39188 233.096
67950 0.13546 8.6341 -8.27842 233.963
68400 0.13636 8.6763 -8.44446 234.282
68850 0.13726 8.71916 -8.502 234.927
69300 0.13816 8.75153 -8.4735 234.534
69750 0.13906 8.78278 -8.52254 234.6
70200 0.13996 8.82044 -8.50306 234.576
70650 0.14086 8.85888 -8.57781 234.475
71100 0.14176 8.89232 -8.59992 234.515
71550 0.14266 8.93338 -8.64228 234.65
72000 0.14356 8.96885 -8.77464 234.061
72450 0.14446 9.00582 -8.70236 233.789
72900 0.14536 9.04147 -8.7993 234.049
73350 0.14626 9.07191 -8.82712 234.213
73800 0.14716 9.10818 -8.85412 234.304
74250 0.14806 9.14004 -8.84681 234.491
74700 0.14896 9.1767 -9.03765 234.57
75150 0.14986 9.2065 -8.9689 234.63
75600 0.15076 9.24325 -8.99096 234.705
76050 0.15166 9.2818 -9.00545 233.03
76500 0.15256 9.30005 -9.02446 234.552
76950 0.15346 9.32814 -9.0466 232.849
77400 0.15436 9.35513 -9.13556 234.418
77850 0.15526 9.38458 -9.1397 236.351
78300 0.15616 9.41573 -9.0786 233.355
78750 0.15706 9.44786 -9.13862 233.308
79200 0.15796 9.44043 -9.16575 233.567
79650 0.15886 8.41265 -8.43567 253.891
80100 0.15976 5.15023 -4.21962 297.017
80550 0.16066 3.7933 -3.50662 278.764
81000 0.16156 3.37455 -4.24703 266.009
81450 0.16246 2.8691 -3.2 253.933
81900 0.16336 2.28888 -2.10343 250.795
82350 0.16426 1.93302 -2.00592 245.685
82800 0.16516 2.0063 -1.83703 240.141
83250 0.16606 2.1296 -2.15015 238.18
83700 0.16696 2.24979 -2.22622 236.433
84150 0.16786 2.31454 -2.45324 235.628
84600 0.16876 2.37152 -2.25105 235.242
85050 0.16966 2.43088 -2.43397 235.706
85500 0.17056 2.48856 -2.50092 235.285
85950 0.17146 2.5484 -2.44427 234.613
86400 0.17236 2.60561 -2.62169 234.801
86850 0.17326 2.67089 -2.64069 234.498
87300 0.17416 2.72366 -2.73568 236.103
87750 0.17506 2.78185 -2.78486 237.017
88200 0.17596 2.83844 -2.80343 235.582
88650 0.17686 2.90641 -2.8458 235.315
89100 0.17776 2.96398 -2.91376 234.066
89550 0.17866 3.0209 -3.02707 233.468
90000 0.17956 3.08863 -3.10359 232.787
90450 0.18046 3.13986 -3.06981 235.329
90900 0.18136 3.20023 -3.19338 235.125
91350 0.18226 3.26425 -3.33148 234.168
91800 0.18316 3.32376 -3.29422 234.286
92250 0.18406 3.38087 -3.32222 232.889
92700 0.18496 3.43849 -3.34052 233.352
93150 0.18586 3.47898 -3.44977 236.34
93600 0.18676 3.53576 -3.46641 236.139
94050 0.18766 3.5904 -3.52782 235.68
94500 0.18856 3.66564 -3.50293 236.1
94950 0.18946 3.72904 -3.77744 235.063
95400 0.19036 3.79034 -3.78103 235.302
95850 0.19126 3.83734 -3.7643 233.887
96300 0.19216 3.9179 -3.92031 236.044
96750 0.19306 3.98535 -3.8803 235.196
97200 0.19396 4.01297 -4.09179 234.521
97650 0.19486 4.06014 -3.96785 235.392
98100 0.19576 4.01651 -3.99048 234.708
98550 0.19666 3.77244 -3.87949 237.218
99000 0.19756 3.72815 -3.66927 235.8
99450 0.19846 3.75383 -3.69161 234.986
99900 0.19936 3.74167 -3.70531 234.52
100350 0.20026 3.61736 -3.65708 234.745
100800 0.20116 3.56122 -3.51281 233.402
101250 0.20206 3.30903 -3.44615 235.002
101700 0.20296 3.04486 -2.94308 235.686
102150 0.20386 2.79426 -2.89461 234.654
102600 0.20476 2.72332 -2.72733 232.998
103050 0.20566 2.59059 -2.66298 234.277
103500 0.20656 2.3037 -2.52133 240.566
103950 0.20746 1.87747 -1.9118 242.771
104400 0.20836 1.81886 -1.60255 239.149
104850 0.20926 1.91717 -2.0247 234.739
105300 0.21016 2.00253 -2.04766 232.839
105750 0.21106 2.1098 -2.00006 232.105
106200 0.21196 2.17424 -2.23879 233.236
106650 0.21286 2.23906 -2.10164 233.505
107100 0.21376 2.28592 -2.40626 232.367
107550 0.21466 2.3558 -2.19787 232.44
108000 0.21556 2.40205 -2.4686 234.815
108450 0.21646 2.46838 -2.45885 236.36
108900 0.21736 2.52779 -2.35855 235.998
109350 0.21826 2.58261 -2.69141 233.912
109800 0.21916 2.65252 -2.6437 232.281
